train,test,n
0.6067481093659104,0.6147135795289328,1.0
0.6518324607329843,0.5804012794416982,2.0
0.7618770603063797,0.5731317243384705,3.0
0.8822959084739189,0.5693515556847921,4.0
0.9487104905953073,0.5847630125036348,5.0
0.9708163661043242,0.5774934574004071,6.0
0.9811906146984681,0.5795289328293108,7.0
0.9860383944153578,0.5888339633614422,8.0
0.9891409734341672,0.5562663564989823,9.0
0.9918557300756253,0.6062808956091887,10.0
0.9930191972076788,0.5949403896481535,11.0
0.993891797556719,0.5838906658912475,12.0
0.9946674423114213,0.6004652515266066,13.0
0.995346131471786,0.5981389938935737,14.0
0.9957339538491371,0.6036638557720267,15.0
0.9958309094434749,0.5862169235242803,16.0
0.9958309094434749,0.5658621692352428,17.0
0.9960248206321505,0.577202675196278,18.0
0.9962187318208261,0.571968595521954,19.0
0.9964126430095016,0.5777842396045362,20.0
0.9966065541981772,0.601628380343123,21.0
0.9969943765755284,0.6030822913637686,22.0
0.9972852433585417,0.5923233498109916,23.0
0.9974791545472174,0.5542308810700786,24.0
0.9977700213302307,0.5492875835998837,25.0
0.9978669769245685,0.5725501599302123,26.0
0.9978669769245685,0.5952311718522827,27.0
0.9978669769245685,0.6048269845885432,28.0
0.9980608881132441,0.523117185228264,29.0
0.9980608881132441,0.6158767083454493,30.0
0.9980608881132441,0.6161674905495783,31.0
0.998157843707582,0.6237278278569351,32.0
0.9984487104905954,0.6080255888339634,33.0
0.9984487104905954,0.6056993312009306,34.0
0.9984487104905954,0.6222739168362896,35.0
0.9984487104905954,0.5844722302995057,36.0
0.9985456660849331,0.6155859261413201,37.0
0.9986426216792709,0.6071532422215761,38.0
0.9986426216792709,0.6054085489968014,39.0
0.9986426216792709,0.6126781041000291,40.0
0.9987395772736087,0.5606280895609189,41.0
0.9987395772736087,0.6074440244257051,42.0
0.9987395772736087,0.5725501599302123,43.0
0.9989334884622842,0.5789473684210527,44.0
0.9989334884622842,0.5620820005815644,45.0
0.9989334884622842,0.5876708345449259,46.0
